Cache miss: -70.3125,42.890625,-69.609375,43.59375, Tile: x: 156, y: 189, z: 8, time: 0.124199867249
Cache hit: -72.421875,42.890625,-71.71875,43.59375, Tile: x: 153, y: 189, z: 8, time: 0.0134019851685, debug: True
Cache hit: -73.125,42.890625,-72.421875,43.59375, Tile: x: 152, y: 189, z: 8, time: 0.0100030899048, debug: True
Cache hit: -73.828125,42.890625,-73.125,43.59375, Tile: x: 151, y: 189, z: 8, time: 0.00265598297119, debug: True
Cache hit: -74.53125,42.890625,-73.828125,43.59375, Tile: x: 150, y: 189, z: 8, time: 0.00112581253052, debug: True
Cache hit: -75.234375,42.890625,-74.53125,43.59375, Tile: x: 149, y: 189, z: 8, time: 0.00102186203003, debug: True
Cache hit: -75.9375,42.890625,-75.234375,43.59375, Tile: x: 148, y: 189, z: 8, time: 0.0112519264221, debug: True
Cache miss: -69.609375,42.890625,-68.90625,43.59375, Tile: x: 157, y: 189, z: 8, time: 0.0989789962769
Cache miss: -69.609375,41.484375,-68.90625,42.1875, Tile: x: 157, y: 187, z: 8, time: 0.102145910263
Cache miss: -69.609375,40.078125,-68.90625,40.78125, Tile: x: 157, y: 185, z: 8, time: 0.104656934738
Cache miss: -69.609375,42.1875,-68.90625,42.890625, Tile: x: 157, y: 188, z: 8, time: 0.12389588356
Cache miss: -69.609375,40.78125,-68.90625,41.484375, Tile: x: 157, y: 186, z: 8, time: 0.134661912918
Cache miss: -69.609375,39.375,-68.90625,40.078125, Tile: x: 157, y: 184, z: 8, time: 0.113103866577
Cache miss: -69.609375,38.671875,-68.90625,39.375, Tile: x: 157, y: 183, z: 8, time: 0.101212024689
Cache miss: -73.828125,37.96875,-73.125,38.671875, Tile: x: 151, y: 182, z: 8, time: 0.0936608314514
Cache miss: -75.234375,37.96875,-74.53125,38.671875, Tile: x: 149, y: 182, z: 8, time: 0.1356549263
Cache miss: -73.125,37.96875,-72.421875,38.671875, Tile: x: 152, y: 182, z: 8, time: 0.109606981277
Cache miss: -74.53125,37.96875,-73.828125,38.671875, Tile: x: 150, y: 182, z: 8, time: 0.139292001724
Cache miss: -72.421875,37.96875,-71.71875,38.671875, Tile: x: 153, y: 182, z: 8, time: 0.108453989029
Cache hit: -75.9375,42.1875,-75.234375,42.890625, Tile: x: 148, y: 188, z: 8, time: 0.000117063522339, debug: True
Cache miss: -71.71875,37.96875,-71.015625,38.671875, Tile: x: 154, y: 182, z: 8, time: 0.0903508663177
Cache hit: -75.9375,41.484375,-75.234375,42.1875, Tile: x: 148, y: 187, z: 8, time: 0.000111818313599, debug: True
Cache miss: -71.015625,37.96875,-70.3125,38.671875, Tile: x: 155, y: 182, z: 8, time: 0.103564023972
Cache hit: -75.9375,40.78125,-75.234375,41.484375, Tile: x: 148, y: 186, z: 8, time: 0.000192165374756, debug: True
Cache hit: -75.9375,40.078125,-75.234375,40.78125, Tile: x: 148, y: 185, z: 8, time: 9.58442687988e-05, debug: True
Cache miss: -70.3125,37.96875,-69.609375,38.671875, Tile: x: 156, y: 182, z: 8, time: 0.104858875275
Cache hit: -75.9375,39.375,-75.234375,40.078125, Tile: x: 148, y: 184, z: 8, time: 0.0001060962677, debug: True
Cache miss: -69.609375,37.96875,-68.90625,38.671875, Tile: x: 157, y: 182, z: 8, time: 0.110957145691
Cache miss: -75.9375,37.96875,-75.234375,38.671875, Tile: x: 148, y: 182, z: 8, time: 0.110856056213
Cache hit: -75.9375,38.671875,-75.234375,39.375, Tile: x: 148, y: 183, z: 8, time: 0.000182867050171, debug: True
Cache miss: -76.640625,40.78125,-75.9375,41.484375, Tile: x: 147, y: 186, z: 8, time: 0.102401018143
Cache miss: -76.640625,42.1875,-75.9375,42.890625, Tile: x: 147, y: 188, z: 8, time: 0.164988040924
Cache miss: -76.640625,39.375,-75.9375,40.078125, Tile: x: 147, y: 184, z: 8, time: 0.142231941223
